Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min,Day_of_Journey,Month_of_Journey
GoAir,Kolkata,Banglore,555,1,No info,10091,40,7.0,22,25,24,3
Air India,Banglore,Delhi,170,0,No info,6961,55,23.0,21,5,3,6
IndiGo,Delhi,Cochin,195,0,No info,5013,50,8.0,5,35,24,4
Air India,Delhi,Cochin,170,0,No info,6934,0,8.0,5,10,18,5
Multiple carriers,Delhi,Cochin,740,1,No info,10877,0,19.0,6,40,3,6
Jet Airways,Banglore,Delhi,175,0,No info,7229,10,18.0,15,15,18,4
IndiGo,Delhi,Cochin,575,1,No info,7048,35,1.0,16,0,27,3
Vistara,Banglore,Delhi,155,0,No info,4878,35,19.0,17,0,27,6
Jet Airways,Kolkata,Banglore,570,1,In-flight meal not included,10844,35,23.0,14,5,21,5
Jet Airways,Delhi,Cochin,1760,2,No info,15129,25,4.0,23,5,18,5
IndiGo,Banglore,Delhi,175,0,No info,3943,25,3.0,0,30,12,5
SpiceJet,Delhi,Cochin,315,1,No info,5583,20,11.0,6,5,6,6
Multiple carriers,Delhi,Cochin,545,1,No info,9646,10,16.0,7,5,6,6
Multiple carriers,Delhi,Cochin,645,1,No info,7677,15,19.0,8,30,3,6
IndiGo,Delhi,Cochin,295,1,No info,6842,5,10.0,5,10,1,6
Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4995,15,10.0,8,45,24,6
Vistara,Kolkata,Banglore,700,1,No info,9555,50,18.0,7,10,9,6
IndiGo,Banglore,Delhi,165,0,No info,4077,15,4.0,1,30,1,6
Jet Airways,Banglore,Delhi,175,0,No info,7229,10,18.0,15,15,12,5
Multiple carriers,Delhi,Cochin,600,1,No info,12192,0,19.0,9,0,9,6
Air India,Banglore,Delhi,165,0,No info,5911,45,12.0,10,0,12,4
Air India,Delhi,Cochin,615,1,No info,8372,15,19.0,9,0,12,6
Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,4995,35,8.0,7,10,18,3
Multiple carriers,Delhi,Cochin,555,1,No info,14323,15,19.0,10,0,9,5
Jet Airways,Delhi,Cochin,1375,2,No info,13014,25,4.0,5,30,9,6
Air India,Delhi,Cochin,1730,2,No info,13591,15,19.0,14,25,6,6
Jet Airways,Delhi,Cochin,2245,2,No info,18799,50,18.0,5,25,3,3
IndiGo,Banglore,Delhi,170,0,No info,3943,20,2.0,23,30,27,4
SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,1965,15,7.0,5,45,21,5
Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,4995,50,11.0,10,20,27,5
Air India,Kolkata,Banglore,1540,1,No info,14641,30,18.0,16,50,24,3
Air India,Kolkata,Banglore,155,0,No info,4460,20,23.0,20,45,12,4
Air India,Delhi,Cochin,375,1,No info,10191,15,19.0,13,0,18,5
Jet Airways,Delhi,Cochin,1050,1,In-flight meal not included,13843,45,19.0,2,15,9,3
IndiGo,Delhi,Cochin,345,1,No info,6349,35,3.0,21,50,1,5
Air Asia,Kolkata,Banglore,155,0,No info,4409,55,12.0,10,20,1,5
Jet Airways,Delhi,Cochin,1530,1,No info,17024,45,19.0,18,15,6,3
Multiple carriers,Delhi,Cochin,835,1,No info,13727,0,21.0,7,5,18,5
IndiGo,Banglore,New Delhi,175,0,No info,8855,20,21.0,18,25,15,3
Multiple carriers,Delhi,Cochin,615,1,No info,12524,0,19.0,8,45,24,6
Jet Airways,Banglore,New Delhi,520,1,No info,13555,20,20.0,11,40,18,3
Jet Airways,Kolkata,Banglore,330,1,In-flight meal not included,10844,0,12.0,6,30,6,6
Multiple carriers,Delhi,Cochin,720,1,No info,13587,0,21.0,9,0,9,6
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,3543,0,12.0,9,45,12,6
Vistara,Chennai,Kolkata,135,0,No info,4842,20,9.0,7,5,18,3
IndiGo,Banglore,Delhi,170,0,No info,3943,20,2.0,23,30,24,4
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,10577,25,4.0,19,15,9,6
IndiGo,Delhi,Cochin,625,1,No info,6979,0,21.0,10,35,15,5
Vistara,Chennai,Kolkata,140,0,No info,11982,5,20.0,17,45,27,6
SpiceJet,Delhi,Cochin,270,1,No info,5264,15,13.0,8,45,6,6
Vistara,Delhi,Cochin,190,0,No info,8001,10,9.0,6,0,3,3
Air India,Delhi,Cochin,1410,2,No info,10651,15,19.0,19,45,1,6
Jet Airways,Kolkata,Banglore,1640,1,In-flight meal not included,10844,50,19.0,16,30,24,5
Multiple carriers,Delhi,Cochin,755,1,No info,6601,20,22.0,9,45,27,3
Air India,Delhi,Cochin,1455,1,No info,6587,15,19.0,19,0,21,3
SpiceJet,Mumbai,Hyderabad,80,0,No info,3173,30,14.0,13,10,21,3
Air India,Banglore,Delhi,165,0,No info,5228,45,12.0,10,0,9,5
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,5769,10,10.0,7,10,21,6
Jet Airways,Delhi,Cochin,660,1,No info,14714,0,19.0,8,0,6,6
Jet Airways,Delhi,Cochin,810,2,No info,13014,0,19.0,5,30,3,6
IndiGo,Banglore,Delhi,170,0,No info,3359,0,1.0,22,10,3,6
GoAir,Banglore,New Delhi,175,0,No info,6722,50,23.0,20,55,3,3
IndiGo,Kolkata,Banglore,165,0,No info,4462,20,12.0,9,35,18,3
IndiGo,Delhi,Cochin,675,1,No info,6171,10,16.0,4,55,9,3
Air India,Kolkata,Banglore,875,2,No info,12303,25,20.0,5,50,21,5
Multiple carriers,Delhi,Cochin,835,1,No info,7695,35,1.0,11,40,21,3
IndiGo,Delhi,Cochin,845,1,No info,5684,30,1.0,11,25,24,6
Air India,Kolkata,Banglore,905,1,No info,8366,55,7.0,16,50,12,6
Air India,Chennai,Kolkata,135,0,No info,19630,55,13.0,11,40,1,3
Jet Airways,Banglore,New Delhi,900,1,In-flight meal not included,13502,5,5.0,14,5,6,3
Jet Airways,Kolkata,Banglore,775,1,No info,14781,5,10.0,21,10,1,5
Multiple carriers,Delhi,Cochin,540,1,No info,6513,10,16.0,7,10,12,6
Air India,Delhi,Cochin,735,1,No info,9929,15,19.0,7,0,1,6
Multiple carriers,Delhi,Cochin,460,2,No info,18275,30,1.0,17,50,6,6
Air India,Delhi,Cochin,1640,1,No info,4487,25,9.0,6,5,9,4
IndiGo,Mumbai,Hyderabad,85,0,No info,2754,45,22.0,21,20,15,3
Air India,Mumbai,Hyderabad,80,0,No info,2575,40,7.0,6,20,27,3
SpiceJet,Kolkata,Banglore,330,1,No info,8224,25,21.0,15,55,12,6
Air India,Delhi,Cochin,705,1,No info,8991,15,8.0,20,30,9,3
IndiGo,Delhi,Cochin,195,0,No info,5000,50,8.0,5,35,24,6
Jet Airways,Kolkata,Banglore,1495,1,In-flight meal not included,8529,50,19.0,18,55,12,6
Air India,Delhi,Cochin,1640,1,No info,14042,25,9.0,6,5,3,3
Jet Airways,Banglore,Delhi,175,0,In-flight meal not included,4030,5,14.0,11,10,24,5
Jet Airways,Kolkata,Banglore,1025,1,In-flight meal not included,10844,0,12.0,18,55,6,6
IndiGo,Kolkata,Banglore,160,0,No info,4804,5,0.0,21,25,6,5
Multiple carriers,Delhi,Cochin,480,1,In-flight meal not included,7308,30,1.0,17,30,27,5
IndiGo,Banglore,Delhi,180,0,No info,4823,55,19.0,16,55,12,5
Jet Airways,Delhi,Cochin,1655,1,In-flight meal not included,10262,35,12.0,9,0,24,6
Jet Airways,Delhi,Cochin,450,1,In-flight meal not included,12898,25,4.0,20,55,27,5
Air India,Banglore,New Delhi,1375,2,No info,12778,20,16.0,17,25,12,3
IndiGo,Delhi,Cochin,515,1,No info,14871,20,13.0,4,45,3,3
Air India,Delhi,Cochin,1795,2,No info,8708,15,19.0,13,20,21,3
Jet Airways,Kolkata,Banglore,1335,1,In-flight meal not included,10844,15,18.0,20,0,6,6
SpiceJet,Mumbai,Hyderabad,80,0,No info,4129,5,7.0,5,45,6,3
IndiGo,Kolkata,Banglore,160,0,No info,4804,5,0.0,21,25,18,5
Jet Airways,Banglore,Delhi,180,0,No info,7229,20,11.0,8,20,6,5
Jet Airways,Banglore,New Delhi,730,1,In-flight meal not included,7832,10,19.0,7,0,21,3
SpiceJet,Chennai,Kolkata,155,0,No info,3859,5,12.0,9,30,18,3
Multiple carriers,Delhi,Cochin,705,1,No info,9001,15,19.0,7,30,6,6
Vistara,Banglore,Delhi,155,0,No info,4878,35,19.0,17,0,9,5
IndiGo,Mumbai,Hyderabad,90,0,No info,2754,5,4.0,2,35,3,5
Vistara,Banglore,Delhi,160,0,No info,4668,40,9.0,7,0,27,6
Air Asia,Kolkata,Banglore,155,0,No info,5216,55,12.0,10,20,12,5
Jet Airways,Delhi,Cochin,1375,2,In-flight meal not included,10368,25,4.0,5,30,6,6
IndiGo,Delhi,Cochin,880,2,No info,8146,20,21.0,6,40,9,3
Jet Airways,Delhi,Cochin,925,1,No info,12242,25,4.0,13,0,27,3
Jet Airways,Banglore,New Delhi,435,1,In-flight meal not included,9134,15,15.0,8,0,15,3
Air India,Delhi,Cochin,1210,2,No info,10939,25,9.0,13,15,6,6
Air India,Delhi,Cochin,1245,2,No info,11753,40,7.0,10,55,6,6
SpiceJet,Kolkata,Banglore,150,0,No info,4174,40,19.0,17,10,24,4
Jet Airways,Kolkata,Banglore,1430,1,In-flight meal not included,10844,50,19.0,20,0,21,5
Jet Airways,Delhi,Cochin,1620,1,No info,14714,0,19.0,16,0,3,6
Jet Airways,Kolkata,Banglore,330,1,In-flight meal not included,9899,0,12.0,6,30,12,6
IndiGo,Delhi,Cochin,710,1,No info,14871,0,21.0,9,10,3,3
IndiGo,Chennai,Kolkata,135,0,No info,7295,35,15.0,13,20,6,3
Air India,Delhi,Cochin,1470,2,No info,13465,15,19.0,18,45,6,6
SpiceJet,Chennai,Kolkata,140,0,No check-in baggage included,3543,5,20.0,17,45,21,5
Multiple carriers,Delhi,Cochin,390,1,No info,7198,30,1.0,19,0,27,6
Jet Airways,Delhi,Cochin,1225,1,In-flight meal not included,10262,25,4.0,8,0,1,6
IndiGo,Kolkata,Banglore,155,0,No info,4148,55,17.0,15,20,15,3
Jet Airways,Banglore,Delhi,175,0,No info,8016,10,18.0,15,15,27,6
Jet Airways,Delhi,Cochin,335,1,In-flight meal not included,10262,25,4.0,22,50,9,6
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,3841,25,17.0,14,55,15,6
Jet Airways,Banglore,New Delhi,885,1,No info,11507,30,0.0,9,45,12,3
Jet Airways,Kolkata,Banglore,740,1,No info,14781,45,20.0,8,25,1,5
Jet Airways,Delhi,Cochin,1530,1,No info,16079,0,19.0,17,30,27,5
