,Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price,Arr_Time_Min,Arr_Time_Hour,Dep_Time_Hour,Dep_Time_Min
52,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,4377,10,1.0,22,20
53,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,180,0,No info,3943,15,0.0,21,15
54,Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,4483,45,2.0,23,55
55,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,975,1,No info,14231,0,12.0,19,45
56,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,905,2,No info,17345,55,23.0,8,50
57,Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,7414,20,9.0,7,5
58,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,390,1,No info,8073,30,1.0,19,0
59,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,1505,1,No info,12395,45,16.0,15,40
60,Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,745,1,No info,8366,50,21.0,9,25
61,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,1640,1,No info,5117,25,9.0,6,5
62,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,615,1,No info,12524,0,19.0,8,45
63,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,630,1,No info,7191,30,1.0,15,0
64,Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,3687,20,9.0,7,5
65,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,625,1,No info,5894,0,21.0,10,35
66,Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,5403,35,12.0,9,45
67,Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,3625,25,15.0,13,55
68,Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,No info,10861,15,19.0,5,55
69,IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,135,0,No info,6297,35,15.0,13,20
70,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,85,0,No info,5678,30,8.0,7,5
71,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1590,1,In-flight meal not included,9134,15,8.0,5,45
72,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,440,1,In-flight meal not included,10791,0,19.0,11,40
73,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,No info,12819,35,12.0,23,5
74,IndiGo,21/03/2019,Delhi,Cochin,DEL → BLR → COK,300,1,No info,6893,5,10.0,5,5
75,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,165,0,No info,7240,35,12.0,9,50
76,GoAir,3/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3898,30,14.0,11,40
77,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,4049,55,7.0,6,25
78,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,1145,1,In-flight meal not included,10262,35,12.0,17,30
79,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,135,0,No check-in baggage included,3332,35,10.0,8,20
80,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,890,1,In-flight meal not included,10844,0,12.0,21,10
81,Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,160,0,No info,7229,35,22.0,19,55
82,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1330,1,No info,13941,40,4.0,6,30
83,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,575,1,No info,5894,0,21.0,11,25
84,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,600,1,No info,10197,0,19.0,9,0
85,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1280,1,In-flight meal not included,13712,25,11.0,14,5
86,IndiGo,24/06/2019,Delhi,Cochin,DEL → MAA → COK,325,1,No info,5636,25,7.0,2,0
87,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1125,2,No info,13014,25,4.0,9,40
88,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,740,1,In-flight meal not included,7064,45,20.0,8,25
89,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1080,1,In-flight meal not included,10703,25,14.0,20,25
90,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,555,1,No info,9646,30,22.0,13,15
91,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,665,1,No info,17057,20,13.0,2,15
92,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1050,1,No info,13817,25,10.0,16,55
93,Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,800,2,No info,13748,15,19.0,5,55
94,Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4880,20,23.0,20,45
95,IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,145,0,No info,3540,40,7.0,5,15
96,SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,160,0,No check-in baggage included,3257,35,8.0,5,55
97,Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,6478,50,22.0,19,50
98,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,85,0,No info,8040,30,8.0,7,5
99,Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,No info,14300,35,12.0,20,0
100,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,740,1,No info,14781,45,20.0,8,25
101,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,735,1,No info,14939,15,8.0,20,0
102,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,450,1,In-flight meal not included,10262,25,4.0,20,55
103,Air India,12/05/2019,Kolkata,Banglore,CCU → MAA → BLR,1440,1,No info,6528,35,14.0,14,35
104,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,165,0,No info,6121,55,8.0,6,10
105,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,In-flight meal not included,13029,25,4.0,19,30
106,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,430,1,No info,11421,50,18.0,11,40
107,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,870,1,No info,7574,15,19.0,4,45
108,Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,1820,2,No info,11596,15,19.0,12,55
109,Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1195,2,No info,15129,0,19.0,23,5
110,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,900,1,No info,13555,5,5.0,14,5
111,IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,175,0,No info,5780,50,21.0,18,55
112,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,765,1,No info,9397,5,9.0,20,20
113,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,610,1,No info,17024,25,4.0,18,15
114,GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,355,1,No info,5281,55,12.0,7,0
115,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,925,1,No info,10348,30,22.0,7,5
116,Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,965,1,No info,12677,25,9.0,17,20
117,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,610,1,No info,15147,35,1.0,15,25
118,Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,160,0,No info,4668,40,9.0,7,0
119,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,715,1,No info,15554,0,19.0,7,5
120,SpiceJet,9/04/2019,Banglore,Delhi,BLR → DEL,160,0,No info,3971,35,8.0,5,55
121,Air India,3/05/2019,Mumbai,Hyderabad,BOM → HYD,85,0,No info,3100,25,16.0,15,0
122,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,845,1,In-flight meal not included,9663,5,10.0,20,0
123,Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,1215,1,No info,27430,15,19.0,23,0
124,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,145,0,No info,3540,40,7.0,5,15
125,Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,1390,2,No info,10676,10,11.0,12,0
126,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,1090,1,No info,13044,15,8.0,14,5
127,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,960,1,No info,14388,0,12.0,20,0
128,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,50,6.0,4,0
129,IndiGo,3/06/2019,Chennai,Kolkata,MAA → CCU,140,0,No info,3597,5,17.0,14,45
130,Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,480,1,No info,5932,50,19.0,11,50
131,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,1015,1,In-flight meal not included,10262,25,4.0,11,30
132,Vistara,12/05/2019,Delhi,Cochin,DEL → COK,190,0,No info,6216,50,17.0,14,40
133,IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,165,0,No info,4804,10,23.0,20,25
134,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,840,1,No info,14067,30,1.0,11,30
135,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1430,2,No info,15129,0,19.0,19,10
136,Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,1300,2,No info,13376,25,4.0,6,45
137,Air India,27/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,1275,2,No info,10441,15,19.0,22,0
138,Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,165,0,In-flight meal not included,4030,45,8.0,6,0
139,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,650,1,No info,17024,50,18.0,8,0
140,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,480,1,No info,13017,30,1.0,17,30
141,GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,495,1,No info,6686,45,7.0,23,30
142,IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,325,1,No info,5636,25,7.0,2,0
143,IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,515,1,No info,6442,10,16.0,7,35
144,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,710,1,No info,9486,55,0.0,13,5
145,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1655,1,In-flight meal not included,10844,35,23.0,20,0
146,Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,505,2,In-flight meal not included,15318,25,4.0,20,0
147,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,1255,1,No info,5117,25,9.0,12,30
148,IndiGo,24/06/2019,Delhi,Cochin,DEL → BLR → COK,290,1,No info,6147,0,20.0,15,10
149,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,490,1,No info,7005,0,21.0,12,50
150,SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,140,0,No info,3873,40,0.0,22,20
151,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,1465,2,In-flight meal not included,9270,50,18.0,18,25
152,GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3898,30,14.0,11,40
153,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,740,1,No info,14781,45,20.0,8,25
154,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,735,1,In-flight meal not included,8586,15,8.0,20,0
155,Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,1415,2,No info,10697,55,7.0,8,20
156,Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,995,2,No info,14300,35,12.0,20,0
157,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,8855,45,21.0,18,55
158,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1545,1,In-flight meal not included,10844,15,18.0,16,30
159,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,1570,1,No info,17024,25,4.0,2,15
160,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1730,1,In-flight meal not included,9314,25,14.0,9,35
161,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,165,0,No info,4777,25,3.0,0,40
162,Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,1515,1,No info,7662,15,13.0,12,0
163,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,560,1,No info,6442,10,16.0,6,50
164,SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,270,1,No info,5264,15,13.0,8,45
165,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,925,1,In-flight meal not included,12898,25,4.0,13,0
166,Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,6092,25,15.0,13,55
167,SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,160,0,No info,3311,35,8.0,5,55
168,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,550,1,In-flight meal not included,6540,25,4.0,19,15
169,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,165,0,No info,3419,15,4.0,1,30
170,Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,1355,1,In-flight meal not included,5177,35,12.0,14,0
171,Air India,18/04/2019,Delhi,Cochin,DEL → COK,185,0,No info,8246,10,21.0,18,5
172,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,690,1,No info,14676,5,21.0,9,35
173,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,570,1,No info,13587,0,21.0,11,30
174,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,730,1,In-flight meal not included,9663,20,9.0,21,10
175,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,1055,1,No info,13044,5,10.0,16,30
176,IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,305,1,No info,5073,30,1.0,20,25
177,Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,1550,1,No info,9345,50,18.0,17,0
178,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,1200,1,In-flight meal not included,9663,5,10.0,14,5
179,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,780,1,No info,14277,0,21.0,8,0
180,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,1105,1,In-flight meal not included,10262,25,4.0,10,0
181,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No info,5678,5,21.0,19,35
182,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,570,1,No info,13727,30,1.0,16,0
183,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,960,1,In-flight meal not included,9663,0,12.0,20,0
184,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,140,0,No info,3858,5,17.0,14,45
185,SpiceJet,24/06/2019,Delhi,Cochin,DEL → PNQ → COK,270,1,No info,4812,15,13.0,8,45
186,IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,345,1,No info,5775,35,3.0,21,50
187,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,1450,1,In-flight meal not included,10539,45,9.0,9,35
188,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4804,5,18.0,15,30
189,Air Asia,12/06/2019,Banglore,Delhi,BLR → DEL,165,0,No info,3383,55,13.0,11,10
190,IndiGo,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,295,1,No info,8738,5,17.0,12,10
191,Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,1535,1,No info,7165,50,6.0,5,15
192,IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,380,1,No info,6412,30,22.0,16,10
193,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,185,0,No info,8016,0,22.0,18,55
194,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,1120,1,In-flight meal not included,11087,15,15.0,20,35
195,SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,135,0,No check-in baggage included,3543,0,12.0,9,45
196,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,730,1,No info,12471,40,4.0,16,30
197,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,1165,1,In-flight meal not included,10262,25,4.0,9,0
198,Air India,18/03/2019,Banglore,New Delhi,BLR → DEL,170,0,No info,4441,10,16.0,13,20
199,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,505,1,No info,12537,30,15.0,7,5
200,GoAir,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,555,1,No info,10091,40,7.0,22,25
201,Air India,3/06/2019,Banglore,Delhi,BLR → DEL,170,0,No info,6961,55,23.0,21,5
202,IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,195,0,No info,5013,50,8.0,5,35
203,Air India,18/05/2019,Delhi,Cochin,DEL → COK,170,0,No info,6934,0,8.0,5,10
204,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,740,1,No info,10877,0,19.0,6,40
205,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,175,0,No info,7229,10,18.0,15,15
206,IndiGo,27/03/2019,Delhi,Cochin,DEL → BOM → COK,575,1,No info,7048,35,1.0,16,0
207,Vistara,27/06/2019,Banglore,Delhi,BLR → DEL,155,0,No info,4878,35,19.0,17,0
208,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,570,1,In-flight meal not included,10844,35,23.0,14,5
209,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,No info,15129,25,4.0,23,5
210,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,175,0,No info,3943,25,3.0,0,30
211,SpiceJet,6/06/2019,Delhi,Cochin,DEL → MAA → COK,315,1,No info,5583,20,11.0,6,5
212,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,545,1,No info,9646,10,16.0,7,5
213,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,645,1,No info,7677,15,19.0,8,30
214,IndiGo,1/06/2019,Delhi,Cochin,DEL → BLR → COK,295,1,No info,6842,5,10.0,5,10
215,Jet Airways,24/06/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,4995,15,10.0,8,45
216,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,700,1,No info,9555,50,18.0,7,10
217,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,165,0,No info,4077,15,4.0,1,30
218,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,175,0,No info,7229,10,18.0,15,15
219,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,600,1,No info,12192,0,19.0,9,0
220,Air India,12/04/2019,Banglore,Delhi,BLR → DEL,165,0,No info,5911,45,12.0,10,0
221,Air India,12/06/2019,Delhi,Cochin,DEL → BOM → COK,615,1,No info,8372,15,19.0,9,0
222,Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM → HYD,85,0,In-flight meal not included,4995,35,8.0,7,10
223,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,555,1,No info,14323,15,19.0,10,0
224,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,No info,13014,25,4.0,5,30
225,Air India,6/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,No info,13591,15,19.0,14,25
226,Jet Airways,3/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,2245,2,No info,18799,50,18.0,5,25
227,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,170,0,No info,3943,20,2.0,23,30
228,SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,No check-in baggage included,1965,15,7.0,5,45
229,Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,4995,50,11.0,10,20
230,Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,1540,1,No info,14641,30,18.0,16,50
231,Air India,12/04/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4460,20,23.0,20,45
232,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,375,1,No info,10191,15,19.0,13,0
233,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,1050,1,In-flight meal not included,13843,45,19.0,2,15
234,IndiGo,1/05/2019,Delhi,Cochin,DEL → LKO → COK,345,1,No info,6349,35,3.0,21,50
235,Air Asia,1/05/2019,Kolkata,Banglore,CCU → BLR,155,0,No info,4409,55,12.0,10,20
236,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,1530,1,No info,17024,45,19.0,18,15
237,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,835,1,No info,13727,0,21.0,7,5
